Word	Pinyin	CON
脆	cui4	5
啐	cui4	4.82
翠	cui4	4.3
村	cun1	6.31
存	cun2	4.57
搓	cuo1	5.58
挫	cuo4	3.81
错	cuo4	4.64
搭	da1	4.76
达	da2	3.85
答	da2	5.28
打	da3	5.75
大	da4	5.53
呆	dai1	4.05
歹	dai3	3.79
带	dai4	4.97
待	dai4	4.35
贷	dai4	4.59
逮	dai4	5.33
戴	dai4	5.79
丹	dan1	3.88
担	dan1	5.03
胆	dan3	5.36
掸	dan3	4.95
旦	dan4	4.25
弹	dan4	5.05
淡	dan4	4.63
蛋	dan4	6.79
当	dang1	3.87
挡	dang3	5.6
党	dang3	4.81
荡	dang4	4.9
档	dang4	4.92
刀	dao1	6.82
叨	dao1	4.95
导	dao3	3.49
岛	dao3	6.89
倒	dao3	5.33
捣	dao3	5.06
蹈	dao3	4.33
到	dao4	4.23
盗	dao4	5.42
道	dao4	4.28
稻	dao4	6.68
德	de2	3.58
灯	deng1	6.84
登	deng1	5.43
蹬	deng1	5.51
凳	deng4	6.92
瞪	deng4	6.1
低	di1	5.11
堤	di1	6.08
敌	di2	5.33
笛	di2	6.51
底	di3	5.38
抵	di3	4.05
弟	di4	6.92
帝	di4	5.2
递	di4	5.43
掂	dian1	5.46
颠	dian1	4.28
巅	dian1	5.32
典	dian3	3.92
电	dian4	5.18
店	dian4	6.47
垫	dian4	5.35
惦	dian4	4.26
殿	dian4	6.25
叼	diao1	5.78
貂	diao1	6.05
雕	diao1	5.55
钓	diao4	5.83
调	diao4	4.45
掉	diao4	5.18
爹	die1	6.74
跌	die1	5.46
碟	die2	6.49
蝶	die2	6.58
叮	ding1	5.61
盯	ding1	5.68
钉	ding1	6.31
顶	ding3	5
鼎	ding3	6.14
订	ding4	4.97
定	ding4	3.1
锭	ding4	5
丢	diu1	5.22
东	dong1	5.1
冬	dong1	5.45
董	dong3	2.5
懂	dong3	4.67
动	dong4	4.08
冻	dong4	5.11
洞	dong4	6.66
兜	dou1	5.88
斗	dou3	4.62
抖	dou3	5.38
豆	dou4	6.72
逗	dou4	4.85
督	du1	3.87
毒	du2	4.92
读	du2	5.88
犊	du2	5.21
堵	du3	5.55
赌	du3	5.19
睹	du3	5
妒	du4	4.24
肚	du4	6.79
渡	du4	5.46
镀	du4	5.44
端	duan1	4.89
短	duan3	4.97
断	duan4	4.64
缎	duan4	5.76
锻	duan4	3.75
队	dui4	5.11
兑	dui4	4.05
墩	dun1	5.25
蹲	dun1	6.13
炖	dun4	5.93
盾	dun4	6.42
钝	dun4	4.74
遁	dun4	3.68
多	duo1	5.13
夺	duo2	5.25
踱	duo2	5.33
躲	duo3	5.33
剁	duo4	5.86
堕	duo4	4.32
惰	duo4	3.68
跺	duo4	5.54
讹	e2	4.05
鹅	e2	6.85
恶	e4	4.41
饿	e4	5.11
恩	en1	3.3
摁	en4	5.46
耳	er3	6.92
饵	er3	5.94
发	fa1	4.48
乏	fa2	3.38
伐	fa2	5.08
罚	fa2	5.28
阀	fa2	5.05
法	fa3	3.83
帆	fan1	6.5
幡	fan1	5.38
翻	fan1	5.64
藩	fan1	4.03
烦	fan2	3.81
繁	fan2	3.76
反	fan3	3.9
返	fan3	4.78
犯	fan4	3.9
泛	fan4	4
饭	fan4	6.69
贩	fan4	5.11
方	fang1	4.68
芳	fang1	3.73
防	fang2	4.6
妨	fang2	3.38
房	fang2	6.71
仿	fang3	4.3
访	fang3	4.41
纺	fang3	5.43
放	fang4	4.68
飞	fei1	5.95
妃	fei1	5.74
菲	fei1	2.23
肥	fei2	5.08
匪	fei3	5.68
吠	fei4	5.43
废	fei4	4.13
沸	fei4	4.65
肺	fei4	6.72
分	fen1	4.87
坟	fen2	6.69
焚	fen2	5.69
粉	fen3	6.06
愤	fen4	4.21
粪	fen4	6.27
丰	feng1	3.18
风	feng1	6.43
枫	feng1	6.03
疯	feng1	4.46
峰	feng1	6.22
蜂	feng1	6.62
逢	feng2	4.32
缝	feng2	6.03
凤	feng4	5.2
奉	feng4	3.73
俸	feng4	4.67
佛	fo2	5.56
夫	fu1	5
肤	fu1	6.33
敷	fu1	5.19
伏	fu2	4.6
扶	fu2	5.68
拂	fu2	5.03
服	fu2	4.59
浮	fu2	5.21
福	fu2	3.62
抚	fu3	5.33
府	fu3	5.71
俯	fu3	5.43
辅	fu3	4.31
腐	fu3	4.3
父	fu4	6.77
付	fu4	4.69
妇	fu4	6.08
负	fu4	4.03
附	fu4	4.03
赴	fu4	4.62
副	fu4	3.44
傅	fu4	4.46
富	fu4	4.38
赋	fu4	4.74
缚	fu4	5.35
腹	fu4	6.46
覆	fu4	4.43
嘎	ga2	3.41
该	gai1	2.35
改	gai3	4.95
钙	gai4	5.1
盖	gai4	5.6
干	gan1	4.23
杆	gan1	6.77
肝	gan1	6.46
秆	gan3	5.58
赶	gan3	4.78
敢	gan3	3.35
擀	gan3	5.25
冈	gang1	4.69
岗	gang1	5.22
纲	gang1	4.11
缸	gang1	6.63
钢	gang1	6.58
港	gang3	6.08
杠	gang4	6.34
高	gao1	5.08
膏	gao1	6.14
糕	gao1	6.37
搞	gao3	3.76
稿	gao3	6.19
镐	gao3	4.55
告	gao4	4.86
戈	ge1	4.46
疙	ge1	4.95
哥	ge1	6.3
鸽	ge1	6.69
割	ge1	5.9
搁	ge1	4.92
歌	ge1	6.59
阁	ge2	5.4
革	ge2	2.58
格	ge2	5.2
隔	ge2	4.38
嗝	ge2	5.27
