Word	Pinyin	CON
瓢	piao2	6.53
瞟	piao3	5.51
票	piao4	6.61
撇	pie1	4.97
瞥	pie1	5.41
拼	pin1	4.67
贫	pin2	4.57
聘	pin4	4.95
平	ping2	4.85
评	ping2	4.82
屏	ping2	4.26
坡	po1	6.27
泼	po1	5.23
婆	po2	5.82
迫	po4	4.26
破	po4	4.86
魄	po4	2.95
剖	pou1	4.85
仆	pu1	5.46
扑	pu1	5.45
铺	pu1	5.17
朴	pu3	3.15
普	pu3	3.26
谱	pu3	5.57
妻	qi1	6.51
栖	qi1	4.67
期	qi1	3.11
欺	qi1	4.33
漆	qi1	6.18
齐	qi2	4.05
奇	qi2	3.79
骑	qi2	5.84
棋	qi2	6.63
旗	qi2	6.54
企	qi3	3.78
启	qi3	4
起	qi3	4.25
气	qi4	4.25
弃	qi4	4.76
汽	qi4	5.95
泣	qi4	5.51
砌	qi4	5.24
掐	qia1	5.51
迁	qian1	4.4
牵	qian1	5.48
铅	qian1	6.46
谦	qian1	4
签	qian1	5.56
前	qian2	5.14
钱	qian2	6.57
钳	qian2	5
掮	qian2	3.83
潜	qian2	3.6
浅	qian3	4.81
谴	qian3	4.41
欠	qian4	4.49
歉	qian4	3.95
呛	qiang1	5.49
枪	qiang1	6.51
强	qiang2	3.98
墙	qiang2	6.82
樯	qiang2	5.58
抢	qiang3	5.78
跷	qiao1	4.95
敲	qiao1	6.03
锹	qiao1	6.11
侨	qiao2	3.97
桥	qiao2	6.64
瞧	qiao2	5.85
巧	qiao3	3.65
俏	qiao4	4
翘	qiao4	4.92
撬	qiao4	5.51
鞘	qiao4	5.25
切	qie1	5.15
妾	qie4	6.19
怯	qie4	4.26
窃	qie4	5.45
亲	qin1	3.9
侵	qin1	4.79
琴	qin2	6.69
禽	qin2	5.73
勤	qin2	4.36
擒	qin2	5.63
沁	qin4	3.38
青	qing1	4.67
氢	qing1	5.05
轻	qing1	4.67
倾	qing1	4.23
清	qing1	4.35
情	qing2	3.33
晴	qing2	4.74
擎	qing2	4.87
请	qing3	3.83
庆	qing4	4.44
罄	qing4	4.3
穷	qiong2	4.79
丘	qiu1	6.03
秋	qiu1	5.33
囚	qiu2	5.45
求	qiu2	4.1
泅	qiu2	4.62
球	qiu2	6.84
区	qu1	4.72
曲	qu1	5.41
驱	qu1	4.75
屈	qu1	4.33
躯	qu1	6.08
趋	qu1	3.92
渠	qu2	6.22
取	qu3	5.65
娶	qu3	5.6
去	qu4	4.78
觑	qu4	4.49
趣	qu4	3.68
全	quan2	3.95
权	quan2	3.68
泉	quan2	6.44
拳	quan2	6.58
犬	quan3	6.75
劝	quan4	5.28
券	quan4	5.9
缺	que1	4.38
瘸	que2	5.82
雀	que4	6.71
裙	qun2	6.7
燃	ran2	5.51
染	ran3	5.43
嚷	rang3	5.8
壤	rang3	6.03
让	rang4	4.15
饶	rao2	4.3
扰	rao3	4.95
绕	rao4	4.95
惹	re3	4.28
热	re4	6.03
人	ren2	5.73
仁	ren2	3.13
忍	ren3	4.49
刃	ren4	6.34
认	ren4	4.36
任	ren4	3.43
扔	reng1	6.21
绒	rong2	6.18
茸	rong2	5
荣	rong2	3.28
容	rong2	3.59
溶	rong2	5.15
榕	rong2	5.77
熔	rong2	5.15
融	rong2	3.92
柔	rou2	4
揉	rou2	5.85
肉	rou4	6.76
儒	ru2	4.23
乳	ru3	5.71
入	ru4	5.24
软	ruan3	5.61
蕊	rui3	6.18
锐	rui4	3.62
润	run4	3.92
弱	ruo4	4.41
撒	sa1	5.1
洒	sa3	5.71
塞	sai1	5.25
腮	sai1	6.38
赛	sai4	4.53
伞	san3	6.95
散	san3	4.58
桑	sang1	6.22
嗓	sang3	6.16
丧	sang4	4.3
骚	sao1	3.59
臊	sao1	3.72
扫	sao3	6.05
嫂	sao3	6.34
色	se4	4.59
涩	se4	4.38
僧	seng1	6.76
杀	sha1	6.08
沙	sha1	6.5
纱	sha1	6.13
刹	sha1	4.58
砂	sha1	6.03
鲨	sha1	6.28
傻	sha3	4.78
煞	sha4	3.1
筛	shai1	5.22
晒	shai4	5.44
山	shan1	6.87
删	shan1	5.74
杉	shan1	6.21
衫	shan1	6.48
煽	shan1	4.74
闪	shan3	4.82
善	shan4	4
擅	shan4	2.79
鳝	shan4	5.72
伤	shang1	4.7
晌	shang3	4.13
赏	shang3	3.75
上	shang4	4.68
梢	shao1	5.7
烧	shao1	5.92
勺	shao2	6.65
少	shao3	4.77
哨	shao4	6.23
赊	she1	4.9
舌	she2	6.89
蛇	she2	6.75
舍	she3	3.95
设	she4	3.57
社	she4	4.4
射	she4	5.58
涉	she4	3.81
摄	she4	4.41
申	shen1	3.03
伸	shen1	5.46
身	shen1	5.6
绅	shen1	3.72
深	shen1	5.1
神	shen2	2.76
审	shen3	4.41
婶	shen3	6.49
肾	shen4	6.57
渗	shen4	4.63
升	sheng1	5.08
生	sheng1	4.05
声	sheng1	6.19
胜	sheng1	4.05
绳	sheng2	6.97
省	sheng3	4.6
圣	sheng4	3.89
盛	sheng4	5.03
剩	sheng4	4.28
尸	shi1	6.42
失	shi1	4.3
师	shi1	6.25
诗	shi1	6.13
施	shi1	3.95
狮	shi1	6.76
湿	shi1	6.23
石	shi2	6.62
时	shi2	3.65
识	shi2	4.24
实	shi2	3.43
拾	shi2	5.68
食	shi2	5.89
使	shi3	3.31
始	shi3	3.46
驶	shi3	5.21
屎	shi3	6.89
市	shi4	5.46
示	shi4	3.72
事	shi4	4.38
势	shi4	3.1
视	shi4	5.35
试	shi4	4.16
饰	shi4	4.14
室	shi4	6.21
恃	shi4	3.77
拭	shi4	5.33
是	shi4	3.1
逝	shi4	4.15
嗜	shi4	3.65
誓	shi4	3.78
收	shou1	4.88
手	shou3	6.9
守	shou3	4.27
寿	shou4	3.65
受	shou4	3.77
兽	shou4	5.73
售	shou4	5.83
授	shou4	4.49
瘦	shou4	5
书	shu1	6.86
抒	shu1	3.25
叔	shu1	6.55
梳	shu1	6.19
淑	shu1	3.38
疏	shu1	3.95
舒	shu1	4.19
输	shu1	4.54
赎	shu2	4.45
熟	shu2	4.51
暑	shu3	5.14
署	shu3	3.72
鼠	shu3	7
曙	shu3	5.21
术	shu4	3.54
述	shu4	4.54
树	shu4	6.69
竖	shu4	5.83
恕	shu4	4.33
漱	shu4	5.38
刷	shua1	6.08
耍	shua3	4.95
衰	shuai1	3.84
摔	shuai1	5.9
甩	shuai3	4.97
帅	shuai4	4.11
拴	shuan1	5.41
栓	shuan1	5.8
涮	shuan4	5.84
霜	shuang1	6.25
爽	shuang3	4.46
水	shui3	6.81
税	shui4	5.49
睡	shui4	5.95
吮	shun3	5.92
顺	shun4	3.74
说	shuo1	6.21
烁	shuo4	3.83
司	si1	3.32
私	si1	3.03
思	si1	4.32
撕	si1	5.72
死	si3	5.05
寺	si4	6.1
伺	si4	4
似	si4	2.63
饲	si4	4.89
嗣	si4	4.62
松	song1	5.44
耸	song3	5.2
送	song4	5.15
颂	song4	4.1
搜	sou1	5.75
馊	sou1	4.48
酥	su1	5.1
俗	su2	3.56
夙	su4	3.16
诉	su4	4.79
速	su4	4.14
塑	su4	4.26
酸	suan1	5.97
算	suan4	4.92
碎	sui4	4.8
穗	sui4	6
孙	sun1	4.3
损	sun3	4.03
笋	sun3	6.53
嗦	suo1	3.44
缩	suo1	5.15
索	suo3	4.1
锁	suo3	6.23
塌	ta1	5.21
塔	ta3	6.66
踏	ta4	5.65
胎	tai1	5.79
抬	tai2	5.76
苔	tai2	5.49
坍	tan1	4.24
贪	tan1	4.1
摊	tan1	4.65
滩	tan1	6.26
瘫	tan1	5.08
坛	tan2	6.53
谈	tan2	5.64
痰	tan2	6.18
潭	tan2	6.47
毯	tan3	4.92
叹	tan4	5
炭	tan4	6.47
探	tan4	4.47
汤	tang1	6.62
堂	tang2	5.15
塘	tang2	5.92
搪	tang2	4.05
膛	tang2	6
糖	tang2	6.69
淌	tang3	5.5
躺	tang3	6.36
烫	tang4	5.49
涛	tao1	5.58
掏	tao1	5.69
逃	tao2	5.48
桃	tao2	7
陶	tao2	5.77
淘	tao2	4.6
讨	tao3	3.58
疼	teng2	5.38
腾	teng2	4.25
藤	teng2	6.61
剔	ti1	5
梯	ti1	6.58
踢	ti1	6
啼	ti2	5.56
提	ti2	5.95
题	ti2	5.89
蹄	ti2	6.51
体	ti3	4.97
屉	ti4	6.14
剃	ti4	6.03
添	tian1	4.77
田	tian2	6.81
甜	tian2	5.14
填	tian2	5.32
腆	tian3	3.49
舔	tian3	5.85
挑	tiao1	5.55
眺	tiao4	5.28
跳	tiao4	6.1
贴	tie1	5.62
铁	tie3	6.26
帖	tie4	6.08
厅	ting1	6.1
听	ting1	5.38
亭	ting2	6.05
庭	ting2	5.28
停	ting2	5.28
艇	ting3	6
通	tong1	3.74
桐	tong2	5.97
铜	tong2	6.79
统	tong3	2.84
捅	tong3	5.49
桶	tong3	6.67
筒	tong3	6.16
痛	tong4	4.61
偷	tou1	5.79
头	tou2	6.9
投	tou2	5.46
透	tou4	4
凸	tu1	5.18
秃	tu1	5.49
图	tu2	5.14
涂	tu2	5.14
途	tu2	4.6
土	tu3	6.49
吐	tu3	5.79
兔	tu4	6.86
团	tuan2	5.23
推	tui1	6.26
腿	tui3	6.82
退	tui4	5.53
褪	tui4	4.87
吞	tun1	6
屯	tun2	4.69
托	tuo1	4.75
拖	tuo1	5.65
脱	tuo1	5.7
驮	tuo2	5.5
妥	tuo3	2.97
拓	tuo4	3.5
娃	wa2	6.22
挖	wa1	5.68
洼	wa1	4.77
蛙	wa1	6.84
瓦	wa3	6.62
袜	wa4	6.67
歪	wai1	5.19
外	wai4	4.38
弯	wan1	5.16
剜	wan1	5.03
湾	wan1	5.17
丸	wan2	5.65
完	wan2	4.49
玩	wan2	5.38
顽	wan2	3.87
挽	wan3	5.15
晚	wan3	4.43
碗	wan3	6.58
腕	wan4	6.1
亡	wang2	4.32
王	wang2	4.92
网	wang3	6.05
忘	wang4	5.1
旺	wang4	3.68
望	wang4	5.46
危	wei1	4.13
威	wei1	3.33
偎	wei1	4.59
微	wei1	3.49
围	wei2	5.13
违	wei2	3.97
伟	wei3	3.46
伪	wei3	3.78
尾	wei3	6.29
苇	wei3	5.92
委	wei3	3.62
卫	wei4	4.25
味	wei4	4.35
畏	wei4	4.62
胃	wei4	6.42
谓	wei4	3.19
慰	wei4	4.56
温	wen1	4.54
瘟	wen1	4.7
文	wen2	3.81
纹	wen2	5.18
闻	wen2	6.03
蚊	wen2	6.43
吻	wen3	6.41
稳	wen3	5.08
问	wen4	5.89
瓮	weng4	5.75
涡	wo1	5.24
窝	wo1	5.94
卧	wo4	6.26
握	wo4	6.24
乌	wu1	4.42
污	wu1	5.21
屋	wu1	6.72
无	wu2	3.7
武	wu3	4.16
侮	wu3	3.64
捂	wu3	5.38
舞	wu3	5.7
物	wu4	3.7
误	wu4	3.74
悟	wu4	3.72
雾	wu4	6.43
夕	xi1	4.95
西	xi1	4.98
吸	xi1	6.03
希	xi1	2.53
昔	xi1	3.59
析	xi1	3.92
息	xi1	4.03
惜	xi1	3.92
稀	xi1	4.3
溪	xi1	6.11
锡	xi1	5.5
熄	xi1	5.53
嬉	xi1	4.89
膝	xi1	6.66
习	xi2	3.4
席	xi2	4.97
袭	xi2	4.87
洗	xi3	5.78
喜	xi3	4.57
戏	xi4	5.97
系	xi4	4.25
细	xi4	4.5
虾	xia1	6.74
匣	xia2	6.05
侠	xia2	4.22
峡	xia2	5.53
狭	xia2	4.59
瑕	xia2	4.65
辖	xia2	3.28
霞	xia2	6.31
下	xia4	4.86
吓	xia4	5.03
夏	xia4	5.51
仙	xian1	3.92
纤	xian1	4.27
掀	xian1	5.8
鲜	xian1	4.21
闲	xian2	4.5
弦	xian2	5.7
贤	xian2	3.74
咸	xian2	5.68
舷	xian2	5.87
衔	xian2	5.22
嫌	xian2	3.75
显	xian3	4.16
险	xian3	4.31
县	xian4	5.74
现	xian4	2.2
线	xian4	6.44
限	xian4	3.42
陷	xian4	4.55
馅	xian4	6.42
献	xian4	4.77
乡	xiang1	5.13
香	xiang1	5.68
箱	xiang1	6.62
镶	xiang1	5.08
翔	xiang2	4.45
享	xiang3	3.95
响	xiang3	4.59
饷	xiang3	4.1
飨	xiang3	3.34
想	xiang3	4.95
巷	xiang4	6.24
削	xiao1	5.82
消	xiao1	3.49
销	xiao1	4.46
小	xiao3	4.67
晓	xiao3	3.05
孝	xiao4	4.67
效	xiao4	3.15
校	xiao4	5.73
笑	xiao4	6.27
啸	xiao4	4.68
歇	xie1	5.15
蝎	xie1	6.42
邪	xie2	4.51
斜	xie2	4.92
携	xie2	4.86
鞋	xie2	6.88
写	xie3	6.18
泄	xie4	4.68
泻	xie4	5.5
卸	xie4	5.32
屑	xie4	5.75
谢	xie4	4.56
蟹	xie4	6.69
心	xin1	5.61
芯	xin1	5.15
锌	xin1	6.03
新	xin1	4.83
薪	xin1	5.03
信	xin4	5.59
兴	xing1	3.26
星	xing1	6.76
腥	xing1	4.87
刑	xing2	4.76
行	xing2	4.62
形	xing2	4
醒	xing3	5.44
杏	xing4	6.69
姓	xing4	4.78
幸	xing4	3.26
凶	xiong1	4.88
兄	xiong1	6.68
胸	xiong1	6.54
雄	xiong2	4.19
熊	xiong2	6.78
休	xiu1	4.11
修	xiu1	4.62
羞	xiu1	4.43
朽	xiu3	3.79
秀	xiu4	3.63
绣	xiu4	6.11
袖	xiu4	6.69
锈	xiu4	5.97
须	xu1	3.31
虚	xu1	2.57
需	xu1	3.13
徐	xu2	3.54
许	xu3	3.55
序	xu4	4.03
叙	xu4	4.38
绪	xu4	3.47
续	xu4	4.05
嗅	xu4	5.63
蓄	xu4	4.03
宣	xuan1	4.38
喧	xuan1	4.59
暄	xuan1	3.75
玄	xuan2	2.97
悬	xuan2	4.97
旋	xuan2	5.08
漩	xuan2	5.11
选	xuan3	4.89
癣	xuan3	5.48
靴	xue1	6.46
穴	xue2	6.25
学	xue2	4.5
雪	xue3	6.67
血	xue4	6.79
熏	xun1	4.9
寻	xun2	5.49
巡	xun2	5.11
循	xun2	2.93
训	xun4	4.51
讯	xun4	4.44
逊	xun4	3.54
殉	xun4	4.79
压	ya1	5
押	ya1	4.98
鸭	ya1	6.89
牙	ya2	6.82
芽	ya2	6.51
崖	ya2	6.36
衙	ya2	4.73
哑	ya3	4.92
雅	ya3	3.51
亚	ya4	2.63
咽	yan1	5.83
烟	yan1	6.44
淹	yan1	5.24
腌	yan1	5.1
延	yan2	3.51
严	yan2	4.13
言	yan2	5.08
岩	yan2	6.21
炎	yan2	3.23
研	yan2	4
盐	yan2	6.59
筵	yan2	4.8
颜	yan2	4.2
奄	yan3	3.33
掩	yan3	5.24
眼	yan3	6.81
演	yan3	5.16
厌	yan4	4.38
砚	yan4	6.17
宴	yan4	5.68
艳	yan4	4.54
验	yan4	3.92
堰	yan4	5.6
焰	yan4	6.05
雁	yan4	6.78
燕	yan4	6.66
秧	yang1	6.08
扬	yang2	4.23
羊	yang2	6.87
阳	yang2	4.88
洋	yang2	3.22
仰	yang3	5.59
养	yang3	4.97
氧	yang3	5.46
痒	yang3	5.53
漾	yang4	4.22
吆	yao1	4.53
妖	yao1	4.48
腰	yao1	6
邀	yao1	4.92
肴	yao2	5.13
窑	yao2	6.19
摇	yao2	5.68
遥	yao2	4.69
咬	yao3	6.23
舀	yao3	4.68
药	yao4	6.54
要	yao4	3.88
耀	yao4	4.05
椰	ye1	6.28
噎	ye1	5.08
爷	ye2	6.94
冶	ye3	3.43
野	ye3	3.24
叶	ye4	6.82
夜	ye4	5.95
掖	ye4	4.77
液	ye4	5.46
腋	ye4	6.28
衣	yi1	6.25
医	yi1	5.72
夷	yi2	3.49
宜	yi2	3.22
姨	yi2	6.28
贻	yi2	3.92
移	yi2	5.78
遗	yi2	3.73
疑	yi2	4.31
蚁	yi3	6.74
倚	yi3	5.41
椅	yi3	6.85
义	yi4	2.35
忆	yi4	4.4
艺	yi4	3.08
议	yi4	4.77
异	yi4	3.53
抑	yi4	3.58
译	yi4	4.95
易	yi4	4.28
弈	yi4	5.18
谊	yi4	3.95
意	yi4	3
溢	yi4	5.57
翼	yi4	6.03
阴	yin1	4.3
音	yin1	5.36
吟	yin2	5.71
淫	yin2	3.88
银	yin2	6.16
引	yin3	3.46
饮	yin3	5.76
隐	yin3	4.67
瘾	yin3	4.15
印	yin4	5.36
应	ying1	3.21
英	ying1	2.93
婴	ying1	5.97
樱	ying1	6.27
鹰	ying1	6.87
迎	ying2	4.62
盈	ying2	4.36
营	ying2	4.98
萦	ying2	3.32
蝇	ying2	6.87
赢	ying2	4.72
影	ying3	5.97
映	ying4	4.31
硬	ying4	5.5
佣	yong1	5.54
拥	yong1	5.14
咏	yong3	4.8
泳	yong3	5.49
勇	yong3	4.22
涌	yong3	4.93
优	you1	4.31
忧	you1	4.27
幽	you1	3.77
邮	you2	4.79
油	you2	6.25
铀	you2	4.94
游	you2	5.21
友	you3	5.82
有	you3	3.95
右	you4	6.03
幼	you4	4.7
佑	you4	3.03
诱	you4	3.92
釉	you4	4.65
予	yu2	3.85
鱼	yu2	6.94
渔	yu2	5.75
隅	yu2	4.43
逾	yu2	4.15
愚	yu2	4.2
榆	yu2	5.92
宇	yu3	3.13
雨	yu3	6.66
语	yu3	4.08
玉	yu4	6.5
吁	yu4	4.35
育	yu4	4.1
郁	yu4	3.2
狱	yu4	6.21
浴	yu4	5.28
欲	yu4	3.36
喻	yu4	2.8
寓	yu4	5.1
御	yu4	3.93
裕	yu4	3.7
遇	yu4	4.72
誉	yu4	3.54
冤	yuan1	4.13
园	yuan2	5.7
原	yuan2	2.51
圆	yuan2	6
缘	yuan2	3.19
源	yuan2	4.19
猿	yuan2	6.71
远	yuan3	4.62
苑	yuan4	4.34
怨	yuan4	4.49
院	yuan4	5.97
愿	yuan4	3.64
曰	yue1	4.72
阅	yue4	5.51
跃	yue4	5.89
云	yun2	6.85
匀	yun2	4.05
允	yun3	3.88
孕	yun4	5.54
运	yun4	4.08
晕	yun4	5.54
韵	yun4	3.8
蕴	yun4	3.28
咂	za1	5.41
杂	za2	4.23
砸	za2	5.54
灾	zai1	4.63
栽	zai1	5.5
宰	zai3	5.11
载	zai3	4.77
崽	zai3	5.46
攒	zan3	4.97
赞	zan4	4.46
赃	zang1	5.32
脏	zang4	5.3
葬	zang4	5.42
遭	zao1	3.59
糟	zao1	4.22
凿	zao2	5.53
早	zao3	4.74
枣	zao3	6.88
澡	zao3	5.5
灶	zao4	6.44
皂	zao4	6.28
造	zao4	4.47
择	ze2	4.41
泽	ze2	3.46
责	ze2	4.03
贼	zei2	6.22
增	zeng1	4.73
憎	zeng1	4.59
赠	zeng4	5.05
渣	zha1	5.03
扎	zha2	5.08
轧	zha2	4.9
闸	zha2	6.11
眨	zha3	5.69
诈	zha4	4.4
炸	zha4	5.61
榨	zha4	5.43
斋	zhai1	4.45
摘	zhai1	5.78
宅	zhai2	6.74
窄	zhai3	5.41
债	zhai4	4.87
寨	zhai4	6.05
沾	zhan1	5.03
毡	zhan1	5.7
粘	zhan1	5.37
瞻	zhan1	4.95
斩	zhan3	5.46
展	zhan3	4.7
辗	zhan3	5.2
占	zhan4	4.67
战	zhan4	4.84
站	zhan4	6.03
绽	zhan4	4
蘸	zhan4	5.51
涨	zhang3	5.05
掌	zhang3	6.32
仗	zhang4	4.28
帐	zhang4	5.43
杖	zhang4	4.81
胀	zhang4	5.05
账	zhang4	5.2
障	zhang4	3.98
招	zhao1	4.79
昭	zhao1	3.47
找	zhao3	5.35
召	zhao4	4.43
照	zhao4	4.86
罩	zhao4	5.35
蜇	zhe1	4.65
遮	zhe1	5.95
折	zhe2	5.33
哲	zhe2	3.03
蔗	zhe4	5.73
贞	zhen1	2.65
针	zhen1	6.78
珍	zhen1	3.22
斟	zhen1	5.05
臻	zhen1	2.25
诊	zhen3	4.75
枕	zhen3	5.64
振	zhen4	4.38
赈	zhen4	3.68
镇	zhen4	5.64
震	zhen4	4.84
争	zheng1	4.3
征	zheng1	3.56
怔	zheng1	3.68
挣	zheng1	4.54
睁	zheng1	5.88
蒸	zheng1	5.41
整	zheng3	3.63
证	zheng4	5
政	zheng4	3.24
汁	zhi1	6.37
枝	zhi1	6.37
知	zhi1	3.7
织	zhi1	5.32
肢	zhi1	6.44
执	zhi2	4.32
侄	zhi2	6.03
值	zhi2	3.39
职	zhi2	4.03
植	zhi2	5.26
止	zhi3	4.49
旨	zhi3	4.22
址	zhi3	4.69
纸	zhi3	6.95
指	zhi3	5.67
趾	zhi3	6.31
志	zhi4	3.26
治	zhi4	4.15
炙	zhi4	5.08
质	zhi4	3.38
致	zhi4	3.53
掷	zhi4	5.69
窒	zhi4	3.88
智	zhi4	2.98
滞	zhi4	3.7
痣	zhi4	6.34
稚	zhi4	3.36
置	zhi4	4.79
中	zhong1	3.95
忠	zhong1	4.31
钟	zhong1	6.61
肿	zhong3	5.56
众	zhong4	4.35
重	chong2	5.03
州	zhou1	4.62
舟	zhou1	6.83
诌	zhou1	3.08
洲	zhou1	5.46
粥	zhou1	6.72
轴	zhou2	5.93
咒	zhou4	4.03
宙	zhou4	3.35
昼	zhou4	6.05
皱	zhou4	5.46
朱	zhu1	3.68
珠	zhu1	5.68
猪	zhu1	6.97
竹	zhu2	6.74
主	zhu3	3.16
拄	zhu3	4.74
属	zhu3	2.75
煮	zhu3	5.73
住	zhu4	5.35
助	zhu4	3.67
注	zhu4	4.25
贮	zhu4	4.9
驻	zhu4	4.79
柱	zhu4	6.29
祝	zhu4	4.05
著	zhu4	3.85
蛀	zhu4	5.08
筑	zhu4	5.33
铸	zhu4	5.21
箸	zhu4	5.76
抓	zhua1	6.06
爪	zhua3	6.49
拽	zhuai1	5.33
砖	zhuan1	6.84
转	zhuan3	5.38
赚	zhuan4	4.49
撰	zhuan4	4.21
妆	zhuang1	5.32
庄	zhuang1	4.45
装	zhuang1	5.03
壮	zhuang4	4.88
状	zhuang4	3.28
撞	zhuang4	5.68
追	zhui1	5.53
锥	zhui1	6.03
坠	zhui4	5.38
缀	zhui4	4.3
赘	zhui4	3
准	zhun3	4.08
捉	zhuo1	5.77
桌	zhuo1	6.71
灼	zhuo2	4.82
啄	zhuo2	5.54
镯	zhuo2	6
兹	zi1	2.76
姿	zi1	3.92
资	zi1	4.77
籽	zi2	5.63
紫	zi3	5.72
字	zi4	6.33
棕	zong1	5.21
踪	zong1	4.06
鬃	zong1	5.22
总	zong3	3.73
走	zou3	6.13
奏	zou4	4.82
揍	zou4	5.43
租	zu1	5.05
足	zu2	4.25
卒	zu2	4.43
族	zu2	4.21
阻	zu3	4.5
组	zu3	4.51
祖	zu3	4.87
钻	zuan4	5.36
嘴	zui3	6.89
罪	zui4	4.33
醉	zui4	5.32
遵	zun1	3.73
昨	zuo2	3.83
左	zuo3	5.03
佐	zuo3	3.13
作	zuo4	3.6
坐	zuo4	5.84
做	zuo4	4.85
Back to the top!
